461 230,03 A1 när det gäller prep
462 229,03 A1 på grund av (förk. p.g.a, pga., p g a) adverb
463 229,02 A1 situation noun-en
464 228,56 A1 europeisk adjective
465 228,11 A1 form noun-en
466 228,11 A1 orm noun-en
467 228,07 A1 råd noun-ett
468 228,05 A1 november noun
469 228,02 A1 makt noun-en
470 226,91 A1 social adjective
471 226,63 A1 vinna verb
472 226,35 A1 kvar particle
473 225,72 A1 system noun-ett
474 225,55 A1 vänta verb
475 225,46 A1 tidig adjective
476 223,86 A1 åtgärd noun-en
477 223,66 A1 krav noun-ett
478 223,65 A1 skillnad noun-en
479 223,14 A1 riksdag noun-en
480 222,66 A1 internationell adjective
481 222,66 A1 nationell adjective
482 221,99 A1 jobba verb
483 218,16 A1 klara verb
484 217,75 A1 typ noun-en
485 217,05 A1 kring prep
486 217,00 A1 båda (vardgl. bägge) pronoun
487 216,97 A1 cirka (förk. ca) adverb
488 216,52 A1 tur noun-en
489 216,42 A1 polis noun-en
490 215,79 A1 medium noun-ett
491 214,24 A1 låg adjective
492 214,16 A1 varandra (vardagl. varann) pronoun
493 213,93 A1 mun noun-en
494 213,48 A1 ansvar noun-ett
495 213,39 A1 roll noun-en
496 211,92 A1 regel noun-en
497 211,56 A1 oktober noun
498 211,06 A1 prata verb
499 210,61 A1 organisation noun-en
500 210,54 A1 medlem noun-en
501 210,47 A1 fråga verb
502 209,80 A1 anmäla verb
503 209,69 A1 nå verb
504 209,48 A1 bo verb
505 207,79 A1 krona noun-en
506 207,42 A1 stämma verb
507 207,42 A1 rättighet noun-en
508 207,30 A1 sedan (vardagl. sen) prep
509 206,72 A1 bakom prep
510 206,69 A1 efter att subj
511 206,58 A1 därmed adverb
512 206,58 A1 med adverb
513 206,57 A1 hus noun-ett
514 205,79 A1 vän noun-en
515 205,43 A1 dela verb
516 205,04 A1 februari noun
517 204,59 A1 kort adjective
518 204,34 A1 grund noun-en
519 203,50 A1 runt prep
520 203,16 A1 framtid noun-en
521 203,16 A1 köra verb
522 202,31 A1 etikett noun-en
523 201,84 A1 fri adjective
524 201,71 A1 behov noun-ett
525 201,49 A1 timme (el. timma) noun-en
526 201,31 A1 september noun
527 200,99 A1 hoppas verb
528 200,63 A1 ensam adjective
529 199,90 A1 snart adverb
530 198,64 A1 rätt adverb
531 198,04 A1 förklara verb
532 197,93 A1 ledning noun-en
533 197,41 A1 intresse noun-ett
534 196,99 A1 tvinga verb
535 196,40 A1 påverka verb
536 195,88 A1 anledning noun-en
537 195,79 A1 titta verb
538 195,42 A1 minska verb
539 195,28 A1 "i alla fall (el. iallafall  förk. iaf)"
540 194,90 A1 däremot adverb
541 194,63 A1 direkt adverb
542 194,28 A1 ekonomi noun-en
543 192,88 A1 bestämma verb
544 192,84 A1 skicka verb
545 192,43 A1 trots prep
546 192,30 A1 åsikt noun-en
547 192,14 A1 diskussion noun-en
548 192,14 A1 rad noun-en
549 192,11 A1 faktum noun-ett
550 191,91 A1 tidning noun-en
